Features ,Notes,Comprehensive MCO with or without MLTSS,Comprehensive MCO with or without MLTSS 2,PCCM,PCCM 2,PCCM Entity,PCCM Entity 2,MLTSS,MLTSS 2,BHO (PIHP and/or PAHP),BHO (PIHP and/or PAHP) 2,Dental,Dental 2,Transportation,Transportation 2,Other PHP,Other PHP 2,PACE,PACE 2,Year
"Exempt populations (AI/AN=American Indian/Alaska Native, FC/AA=Foster Care and Adoption Assistance Children)2","Certain federal statutory authorities do not allow enrollment of American Indians/Alaska Natives or Foster Care Children. Where states use these authorities to operate Medicaid managed care, American Indians/Alaska Natives or Foster Care Children are considered ""exempt.""","NA/AN11","FC/AA21","NA/AN1","FC/AA1","NA/AN1","FC/AA0","NA/AN1","FC/AA4","NA/AN2","FC/AA0","NA/AN1","FC/AA3","NA/AN5","FC/AA0","NA/AN2","FC/AA2","NA/AN8","FC/AA20",2021
Low-income Adults,--,43,4,5,2,5,0,1,0,7,0,8,1,9,2,0,0,0,0,2022
"Aged, Blind, or Disabled Children or Adults",--,48,12,6,2,5,2,2,1,9,0,10,1,13,2,0,0,0,24,2022
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),--,44,5,8,2,5,0,1,0,8,0,11,1,11,2,0,0,0,0,2022
Individuals receiving Limited Benefits,--,15,1,2,2,2,0,0,0,3,0,4,1,5,2,0,1,0,0,2022
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,--,42,5,3,2,2,1,1,0,5,0,9,1,8,1,0,0,0,0,2022
Full Dually Eligible Individuals,--,26,28,0,1,2,1,3,1,7,2,7,2,12,3,0,1,0,27,2022
Children with Special Health Care Needs,--,34,12,1,1,4,3,1,0,6,4,7,2,10,3,0,1,0,0,2022
American Indians/Alaskan Natives (AI/AN),--,24,46,4,5,3,5,1,2,4,6,5,7,10,2,0,1,0,22,2022
Foster Care and Adoption Assistance Children (FC/AA),--,33,19,1,7,3,5,1,0,7,4,6,2,12,1,0,1,0,1,2022
Exempt populations —AI/AN or FC/AA,"Certain federal statutory authorities do not allow enrollment of AI/AN or foster care children. Where states use these authorities to operate Medicaid managed care, AI/AN or foster care children are considered ""exempt.""","AI/AN10","FC/AA22","AI/AN1","FC/AA1","AI/AN0","FC/AA0","AI/AN1","FC/AA3","AI/AN2","FC/AA0","AI/AN1","FC/AA3","AI/AN5","FC/AA1","AI/AN3","FC/AA2","AI/AN9","FC/AA21",2022
Low-income Adults,--,44,4,5,2,5,0,1,0,7,0,8,2,8,2,0,0,0,2,2023
"Aged, Blind, or Disabled Children or Adults",--,46,12,5,2,5,2,2,1,9,0,10,2,12,2,0,0,0,25,2023
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),--,43,3,7,2,5,0,1,0,8,0,10,2,10,2,0,0,0,1,2023
Individuals receiving Limited Benefits,--,16,1,2,2,2,0,0,0,3,0,3,2,4,2,0,1,0,1,2023
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,--,42,5,3,2,4,1,1,0,6,0,9,2,8,1,0,0,0,2,2023
Full Dually Eligible Individuals,--,28,25,0,1,2,1,3,1,7,2,8,2,12,2,0,1,0,28,2023
Children with Special Health Care Needs,--,32,12,1,1,3,4,1,0,6,4,6,3,9,3,0,1,0,1,2023
American Indians/Alaskan Natives (AI/AN),--,18,46,4,4,3,5,1,3,3,6,6,7,10,1,0,1,0,21,2023
Foster Care and Adoption Assistance Children (FC/AA),--,29,18,1,6,3,5,1,0,6,4,6,2,11,1,0,1,0,0,2023
Exempt populations AI/AN or FC/AA,"Certain federal statutory authorities do not allow enrollment of individuals who are AI/AN or children receiving FC/AA. Where states use these authorities to operate Medicaid managed care, AI/AN individuals or children receiving FC/AA are considered ""exempt.""","AI/AN5","FC/AA21","AI/AN1","FC/AA1","AI/AN0","FC/AA0","AI/AN0","FC/AA3","AI/AN0","FC/AA0","AI/AN0","FC/AA3","AI/AN2","FC/AA1","AI/AN1","FC/AA1","AI/AN4","FC/AA19",2023
Low-income Adults,--,47,4,4,2,5,1,1,0,7,0,8,2,8,2,0,0,0,1,2024
"Aged, Blind, or Disabled Children or Adults",--,50,12,5,2,5,3,2,1,9,0,10,2,12,2,0,0,0,25,2024
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),--,46,3,6,2,5,1,1,0,8,0,10,2,10,2,0,0,0,0,2024
Individuals receiving Limited Benefits,--,16,2,1,2,2,0,0,0,3,0,2,3,4,2,0,1,0,0,2024
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,--,44,5,3,2,4,2,1,0,6,0,8,2,8,1,0,0,0,1,2024
Full Dually Eligible Individuals,--,29,26,0,1,2,1,3,1,7,2,7,2,12,2,0,1,0,28,2024
Children with Special Health Care Needs,--,33,12,1,1,3,4,1,0,6,4,5,3,9,3,0,1,0,0,2024
American Indians/Alaskan Natives (AI/AN),--,19,48,3,4,3,6,1,3,4,6,5,8,9,1,0,1,0,22,2024
Foster Care and Adoption Assistance Children (FC/AA),--,29,19,1,6,3,5,1,0,7,4,5,3,11,1,0,1,0,1,2024
Exempt populations AI/AN or FC/AA,"Certain federal statutory authorities do not allow enrollment of individuals who are AI/AN or children receiving FC/AA. Where states use these authorities to operate Medicaid managed care, AI/AN individuals or children receiving FC/AA are considered ""exempt.""","AI/AN5","FC/AA23","AI/AN1","FC/AA1","AI/AN0","FC/AA0","AI/AN0","FC/AA3","AI/AN0","FC/AA0","AI/AN0","FC/AA3","AI/AN3","FC/AA1","AI/AN2","FC/AA2","AI/AN4","FC/AA20",2024
